JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId
1	AADE editors' journal	AADE Ed J	0160-6999		AADE Ed J	7708172
2	AANA journal	AANA J	0094-6354		AANA J	431420
3	AARN news letter	AARN News Lett	0001-0197		AARN News Lett	1251052
4	[Nihon shika hyoron] The Nippon dental review	Nihon Shika Hyoron	0289-0909		Nihon Shika Hyoron	19130390R
5	Academia Peruana de Cirugia	Acad Peru Cir	0001-3854		Acad Peru Cir	14490460R
6	Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	Acad Rev Calif Acad Periodontol	0008-0810		Acad Rev Calif Acad Periodontol	7503275
9	Acquisitions medicales recentes	Acquis Med Recent	0075-4463		Acquis Med Recent	373054
11	Activitas nervosa superior	Act Nerv Super (Praha)	0001-7604		Act Nerv Super (Praha)	400662
12	Acta allergologica	Acta Allergol	0001-5148		Acta Allergol	370567
13	Acta anaesthesiologica	Acta Anaesthesiol	0001-5156		Acta Anaesthesiol	340732
14	Acta anaesthesiologica Belgica	Acta Anaesthesiol Belg	0001-5164		Acta Anaesthesiol Belg	421022
16	Acta anaesthesiologica Scandinavica. Supplementum	Acta Anaesthesiol Scand Suppl	0515-2720		Acta Anaesthesiol Scand Suppl	370271
18	Kaibogaku zasshi. Journal of anatomy	Kaibogaku Zasshi	0022-7722		Kaibogaku Zasshi	413526
21	Across the board	Across Board (NY)	0147-1554		Across Board (NY)	9877747
22	Acta biologica Academiae Scientiarum Hungaricae	Acta Biol Acad Sci Hung	0001-5288		Acta Biol Acad Sci Hung	370274
24	Acta biochimica et biophysica Hungarica	Acta Biochim Biophys Hung	0237-6261		Acta Biochim. Biophys. Hung.	8701158
25	Acta biologiae experimentalis	Acta Biol Exp (Warsz)	0365-0820		Acta Biol Exp (Warsz)	1246764
28	Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	Acta Belg Med Phys	0771-5684		Acta Belg Med Phys	8307581
29	Shi yan sheng wu xue bao	Shi Yan Sheng Wu Xue Bao	0001-5334		Shi Yan Sheng Wu Xue Bao	413570
31	Acta biologica et medica	Acta Biol Med (Gdansk)	0065-1087		Acta Biol Med (Gdansk)	370275
32	Acta biologica et medica Germanica	Acta Biol Med Ger	0001-5318		Acta Biol. Med. Ger.	370276
35	Acta cancerologica	Acta Cancerol (Lima)	1013-5545	1810-8296	Acta Cancerol (Lima)	370300
36	Acta cardiologica	Acta Cardiol	0001-5385	1784-973X	Acta Cardiol	370570
38	Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	Acta Chem Scand A	0302-4377		Acta Chem Scand A	421761
39	Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	Acta Chem Scand B	0302-4369		Acta Chem. Scand., B, Org. Chem. Biochem.	421265
40	Acta chirurgica Academiae Scientiarum Hungaricae	Acta Chir Acad Sci Hung	0001-5431		Acta Chir Acad Sci Hung	2984283R
41	Acta chirurgica Hungarica	Acta Chir Hung	0231-4614		Acta Chir Hung	8309977
42	Acta cardiologica. Supplementum	Acta Cardiol Suppl	0373-7934		Acta Cardiol Suppl	376316
