ID	Title	Publisher	ISSN_Cross	EISSN_Cross	JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId	wikidata
113565	AAUP Bulletin	JSTOR	0001-026X		22176	AAUP bulletin : quarterly publication of the American Association of University Professors	AAUP Bull	0001-026X		AAUP Bull	9878133	
5692	Communications of the ACM	Association for Computing Machinery	0001-0782		22724	Communications of the ACM	Commun ACM	0001-0782		Commun ACM	58030170R	Q1120519
22677	AIChE Journal	Wiley Blackwell (John Wiley & Sons)	0001-1541	1547-5905	22859	AIChE journal. American Institute of Chemical Engineers	AIChE J	0001-1541	1547-5905	AIChE J	9879346	Q15753322
58287	AORN Journal / Association of Operating Room Nurses Journal	Elsevier	0001-2092		691	AORN journal	AORN J	0001-2092	1878-0369	AORN J	372403	Q4653156
229408	Transactions of the ASAE	American Society of Agricultural and Biological Engineers	0001-2351	2151-0059	22530	Transactions of the ASAE. American Society of Agricultural Engineers	Trans ASAE	0001-2351		Trans ASAE	100971216	Q15765755
57090	Aslib Proceedings	Emerald (MCB UP )	0001-253X		28039	Aslib proceedings	Aslib Proc	0001-253X		Aslib Proc	57710100R	Q2659626
3333	Tissue Antigens	Wiley Blackwell (Blackwell Publishing)	0001-2815	1399-0039	7755	Tissue antigens	Tissue Antigens	0001-2815	1399-0039	Tissue Antigens	331072	Q1573131
75787	Audio-Visual Communication Review	Springer-Verlag	0001-2890		27248	AV communication review	Av Commun Rev	0001-2890		Av Commun Rev	9877675	
6200	Seminars in Nuclear Medicine	Elsevier - WB Saunders	0001-2998		7493	Seminars in nuclear medicine	Semin Nucl Med	0001-2998	1558-4623	Semin Nucl Med	1264464	Q15751827
46998	Anais da Academia Brasileira de Ciências	SciELO	0001-3765	0001-3765	484	Anais da Academia Brasileira de Ciencias	An Acad Bras Cienc	0001-3765	1678-2690	An. Acad. Bras. Cienc.	7503280	Q2491743
40438	Chirurgie	Elsevier	0001-4001		2939	Chirurgie; memoires de l'Academie de chirurgie	Chirurgie	0001-4001		Chirurgie	236600	
261166	Bulletin de l Académie vétérinaire de France	INIST-CNRS	0001-4192		1952	Bulletin de l'Academie veterinaire de France	Bull Acad Vet Fr	0001-4192		Bull Acad Vet Fr	7503384	
55328	The Academy of Management Journal	The Academy of Management	0001-4273	1948-0989	27	Academy of Management journal. Academy of Management	Acad Manage J	0001-4273	1948-0989	Acad Manage J	7703609	Q337323
1554	Accident Analysis & Prevention	Elsevier	0001-4575		1349	Accident; analysis and prevention	Accid Anal Prev	0001-4575	1879-2057	Accid Anal Prev	1254476	Q4672555
